연번,사업장명,주소,위도,경도,데이터기준일자
140,씨유 장덕대로점,"광주광역시 광산구 풍영로 229 (장덕동 1475, 1층)",35.19191212,126.813984,2024-04-30
141,드림마트,"광주광역시 광산구 비아로45번길 8-2, 1층 (도천동 629-1)",35.22000197,126.819919,2024-04-30
142,씨유 첨단주민점,"광주광역시 광산구 첨단중앙로124번길 5 (월계동 874-12, 1층)",35.21666708,126.8427736,2024-04-30
143,월드푸드마트,"광주광역시 광산구 첨단중앙로152번길 22, 1층 (쌍암동 658-4)",35.21882557,126.8435583,2024-04-30
144,지에스25 진곡센터점,광주광역시 광산구 진곡산단5번로 57-23(진곡동 526),35.21006467,126.7834825,2024-04-30
145,지에스(GS)25 하남다승,"광주광역시 광산구 용아로399번길 51, 1동 105호(하남동 786)",35.17713754,126.8031305,2024-04-30
146,미니스톱하남장안,광주광역시 광산구 임곡로 691-5(안청동 273-8),35.21708784,126.8054845,2024-04-30
147,씨유광주비아,"광주광역시 광산구 비아로12번길 61, 1층(비아동 682-3)",35.22294361,126.8226696,2024-04-30
148,지에스25 하남공원점,"광주광역시 광산구 하남대로54번안길 3, 1층(하남동 624)",35.17778047,126.7993377,2024-04-30
149,세븐일레븐 광주첨단CGV점,"광주광역시 광산구 임방울대로826번길 19-24, 1층 101호(쌍암동 694-34)",35.21647607,126.8500738,2024-04-30
150,유한회사 상민이레,광주광역시 광산구 월계로 193(월계동 892-4),35.21374962,126.8467272,2024-04-30
151,선진에스씨엠(주)미니스톱 첨단선진점,"광주광역시 광산구 월계로 235-9, 나동 102호(쌍암동 694-58)",35.21425581,126.851273,2024-04-30
152,자연에마트,"광주광역시 광산구 임방울대로825번길 22-52, 1층(쌍암동 689-15)",35.21990087,126.850758,2024-04-30
153,씨유(CU)하남 CGV점,광주광역시 광산구 용아로400번길 29(하남동 820),35.17889873,126.8065057,2024-04-30
154,세븐일레븐 광주비아스타점,광주광역시 광산구 비아안길 92-3(비아동 712-1),35.22114568,126.8213693,2024-04-30
155,미니스톱 하남흑석점,광주광역시 광산구 풍영로101번안길 19-14(흑석동 537),35.18069645,126.8088159,2024-04-30
156,세븐일레븐 쌍암점,광주광역시 광산구 첨단중앙로152번길 11(쌍암동 659-6),35.21914148,126.8427831,2024-04-30
157,이마트24 광주첨단모아,"광주광역시 광산구 월계로 80, 1층(월계동 776-6)",35.21227865,126.8347622,2024-04-30
158,세븐일레븐 광주쌍암스타점,광주광역시 광산구 임방울대로801번길 35(쌍암동 667-7),35.2194643,126.8457619,2024-04-30
159,오리엔탈프레스코리아,광주광역시 광산구 첨단과기로 93-13 (비아동 721),35.22399434,126.8363179,2024-04-30
160,CU하남부영점,"광주광역시 광산구 사암로 251, 상가동 103호(월곡동 538-2)",35.16734483,126.8082321,2024-04-30
161,세븐일레븐 광주하남3지구점,광주광역시 광산구 하남대로 47(하남동 1038),35.18053052,126.7986406,2024-04-30
162,씨유 첨단휴먼시아,"광주광역시 광산구 산월로 64, 상가동 1층 101호(산월동 886-1)",35.20789005,126.8436456,2024-04-30
